iter	Passed	Remaining
0	170	136001
1	338	135129
2	495	131636
3	703	140020
4	947	150585
5	1173	155299
6	1652	187161
7	1988	196856
8	2173	191012
9	2361	186542
10	2512	180235
11	2674	175598
12	2818	170611
13	2970	166758
14	3134	164037
15	3288	161140
16	3431	158070
17	3572	155195
18	3730	153344
19	3889	151682
20	4034	149655
21	4187	148081
22	4327	146202
23	4460	144238
24	4594	142421
25	4731	140866
26	4872	139484
27	5018	138360
28	5159	137159
29	5295	135927
30	5432	134766
31	5576	133828
32	5706	132624
33	5840	131576
34	5964	130369
35	6093	129316
36	6246	128811
37	6390	128153
38	6529	127408
39	6658	126513
40	6799	125871
41	6946	125366
42	7083	124701
43	7205	123803
44	7332	123016
45	7463	122336
46	7597	121725
47	7753	121467
48	7885	120850
49	8016	120245
50	8146	119648
51	8285	119183
52	8429	118812
53	8567	118360
54	8705	117915
55	8838	117424
56	8970	116931
57	9112	116573
58	9258	116280
59	9414	116109
60	9552	115730
61	9682	115256
62	9818	114861
63	9945	114377
64	10077	113949
65	10201	113455
66	10327	112989
67	10455	112546
68	10579	112079
69	10703	111625
70	10832	111220
71	10953	110755
72	11083	110381
73	11207	109956
74	11333	109561
75	11454	109120
76	11580	108735
77	11705	108350
78	11832	107989
79	11954	107593
80	12079	107226
81	12201	106838
82	12325	106474
83	12446	106091
84	12574	105773
85	12703	105469
86	12830	105149
87	12950	104784
88	13075	104460
89	13198	104119
90	13323	103803
91	13446	103483
92	13574	103194
93	13697	102875
94	13826	102609
95	13950	102301
96	14073	101994
97	14197	101699
98	14323	101418
99	14448	101137
100	14576	100883
101	14703	100616
102	14829	100348
103	14950	100056
104	15078	99805
105	15207	99566
106	15336	99327
107	15486	99228
108	15642	99167
109	15768	98912
110	15914	98787
111	16042	98546
112	16168	98301
113	16304	98113
114	16435	97895
115	16585	97796
116	16734	97690
117	16876	97537
118	17088	97791
119	17222	97593
120	17352	97374
121	17489	97194
122	17625	97014
123	17762	96836
124	17901	96670
125	18039	96495
126	18170	96287
127	18301	96080
128	18429	95860
129	18569	95706
130	18709	95547
131	18850	95392
132	18990	95239
133	19125	95056
134	19266	94904
135	19401	94723
136	19556	94643
137	19706	94535
138	19830	94300
139	19960	94098
140	20076	93833
141	20190	93557
142	20311	93320
143	20421	93033
144	20544	92804
145	20672	92599
146	20780	92310
147	20899	92068
148	21018	91831
149	21134	91584
150	21247	91323
151	21367	91092
152	21483	90848
153	21615	90672
154	21747	90495
155	21875	90305
156	22006	90128
157	22138	89956
158	22262	89750
159	22392	89568
160	22528	89413
161	22662	89249
162	22786	89049
163	22912	88855
164	23035	88651
165	23157	88445
166	23274	88220
167	23401	88033
168	23533	87867
169	23726	87928
170	23887	87868
171	24018	87694
172	24157	87553
173	24283	87363
174	24419	87212
175	24545	87024
176	24676	86857
177	24845	86820
178	24999	86729
179	25149	86625
180	25276	86441
181	25401	86254
182	25529	86075
183	25671	85942
184	25803	85777
185	25926	85584
186	26058	85422
187	26194	85270
188	26322	85096
189	26445	84905
190	26575	84735
191	26703	84562
192	26840	84415
193	26967	84238
194	27091	84053
195	27218	83878
196	27347	83707
197	27477	83543
198	27614	83399
199	27747	83241
200	27878	83079
201	28003	82900
202	28131	82730
203	28254	82547
204	28381	82376
205	28516	82226
206	28656	82091
207	28794	81952
208	28921	81781
209	29044	81602
210	29177	81449
211	29307	81287
212	29437	81126
213	29569	80969
214	29703	80820
215	29834	80664
216	29954	80476
217	30070	80280
218	30200	80120
219	30330	79961
220	30454	79788
221	30581	79622
222	30711	79463
223	30848	79324
224	30986	79188
225	31127	79059
226	31292	78988
227	31417	78819
228	31551	78671
229	31700	78561
230	31831	78406
231	31957	78240
232	32086	78081
233	32216	77925
234	32338	77749
235	32470	77598
236	32594	77428
237	32721	77267
238	32848	77105
239	32985	76965
240	33111	76802
241	33238	76641
242	33361	76471
243	33489	76312
244	33623	76166
245	33750	76007
246	33873	75837
247	33996	75669
248	34118	75498
249	34246	75342
250	34367	75170
251	34492	75006
252	34609	74826
253	34730	74656
254	34844	74471
255	34965	74302
256	35083	74126
257	35201	73950
258	35318	73773
259	35437	73600
260	35563	73443
261	35696	73299
262	35827	73152
263	35948	72986
264	36067	72815
265	36186	72646
266	36303	72471
267	36422	72302
268	36543	72136
269	36664	71971
270	36780	71796
271	36895	71620
272	37011	71446
273	37128	71276
274	37248	71111
275	37369	70947
276	37487	70778
277	37606	70613
278	37728	70453
279	37857	70306
280	37979	70147
281	38098	69982
282	38224	69830
283	38366	69707
284	38503	69576
285	38667	69494
286	38856	69453
287	38988	69312
288	39125	69179
289	39249	69024
290	39382	68885
291	39510	68737
292	39647	68605
293	39785	68474
294	39921	68339
295	40055	68203
296	40236	68145
297	40367	68001
298	40491	67846
299	40622	67704
300	40749	67554
301	40898	67442
302	41064	67357
303	41215	67246
304	41355	67118
305	41507	67008
306	41672	66919
307	41836	66828
308	41973	66696
309	42132	66595
310	42267	66458
311	42404	66324
312	42532	66176
313	42675	66051
314	42804	65905
315	42931	65756
316	43060	65609
317	43187	65460
318	43323	65325
319	43452	65178
320	43581	65032
321	43704	64878
322	43831	64729
323	43953	64573
324	44082	64428
325	44212	64284
326	44351	64154
327	44499	64036
328	44652	63925
329	44786	63786
330	44932	63665
331	45074	63538
332	45207	63398
333	45388	63326
334	45527	63195
335	45666	63063
336	45799	62923
337	45930	62780
338	46078	62661
339	46226	62542
340	46373	62421
341	46522	62301
342	46661	62169
343	46814	62056
344	46971	61947
345	47143	61858
346	47305	61755
347	47482	61672
348	47629	61549
349	47762	61409
350	47904	61279
351	48040	61142
352	48174	61002
353	48303	60856
354	48441	60722
355	48568	60573
356	48695	60425
357	48837	60296
358	48971	60156
359	49108	60021
360	49246	59886
361	49376	59743
362	49521	59616
363	49658	59481
364	49777	59323
365	49916	59190
366	50044	59044
367	50180	58907
368	50330	58787
